,Armond Review,Tomatometer Review,Tomatometer Score,Quote,Publication Name,Movie,Date
222,fresh,certified-fresh,87.0,We're unlikely to witness such brutal honesty about the clash of art and politics in any other movie this year.,National Review,The Truth,"Jul 10, 2020"
223,rotten,certified-fresh,98.0,"Miranda's unprepossessing lead performance depends on whiny hectoring, rather than brainy charisma; the role needs a star, and this film doesn't have one.",National Review,Hamilton,"Jul 06, 2020"
224,fresh,certified-fresh,88.0,"This slyly paranoid art film proposes what cannot be put back in order -- or, as an amateur filmmaker might think, rectified by pressing a rewind button. It defies back-to-roots, back-to-nature aspirations and so goes forward into murderous madness.",National Review,Deerskin,"Jul 01, 2020"
225,fresh,certified-fresh,99.0,Miss Juneteenth feels like the era's first black conservative movie.,National Review,Miss Juneteenth,"Jun 24, 2020"
226,fresh,,,Right On! exposes the chasm between what used to be black pop consciousness and today's political attitudinizing.,National Review,UNKNOWN,"Jun 19, 2020"
227,rotten,certified-fresh,76.0,"Apatow's glib narrative both sneers at and pities this working-class phenomenon, oblivious to the deep-seated social unease that defines America's lost generation.",National Review,The King of Staten Island,"Jun 17, 2020"
228,fresh,certified-fresh,80.0,"Tommaso is not a slog through guilty self-hatred. Tommaso's marital jealousy exposes reasonable insecurity. More than a diaristic confession, it is an effort toward integrity and self-acceptance.",National Review,Tommaso,"Jun 10, 2020"
229,rotten,rotten,59.0,"Despite their sophistication, the Dardennes offer sop to the new Europe, awash in liberal pity and sitting-duck weakness.",National Review,Young Ahmed,"May 27, 2020"
230,fresh,rotten,40.0,"British Hardy dramatizes the guilt that American actors avoid. As the most talented and charismatic actor of the millennium, Hardy displays his gifts modestly and shrewdly: Sickly pale Capone has a carrot stuck in his face where a stogie used to be.",National Review,Capone,"May 22, 2020"
231,fresh,fresh,66.0,"An homage to French cinema's most advanced romantic comedies, it is also a wholly original film.",National Review,On a Magical Night,"May 15, 2020"
232,fresh,certified-fresh,93.0,"It is actor Kirk Douglas's ultimate performance as a post-WWII heel, twisting the actor's considerable talent and the force of his charisma into a spectacle of contempt.",National Review,Ace in the Hole,"May 13, 2020"
233,fresh,fresh,88.0,"Beresford, who directed Driving Miss Daisy, Crimes of the Heart, and Breaker Morant, movies that portrayed eccentrics inhabiting society's borders, neither sentimentalizes these women's struggles nor makes them paragons of identity politics.",National Review,Ladies in Black,"May 08, 2020"
234,rotten,certified-fresh,82.0,Perry shamelessly imitates his betters at their worst; only the arrogance is genuine.,National Review,Listen Up Philip,"May 07, 2020"
235,rotten,,,"This trifling TV movie neglects the essence of black American church culture, settling for the clichéd politicized feminism that disrespects black religious faith.",National Review,The Clark Sisters: First Ladies of Gospel,"Apr 24, 2020"
236,rotten,rotten,21.0,The vehement viral responses to Coffee & Kareem have been funnier than the movie itself.,National Review,Coffee & Kareem,"Apr 10, 2020"
237,rotten,rotten,57.0,"The role of Marcel Marceau should have been a highpoint of Eisenberg's career ambitions the way playing Charlie Chaplin was for Robert Downey Jr. Unfortunately, Eisenberg appreciates Marceau's art only for its historical utility.",National Review,Resistance,"Mar 27, 2020"
238,fresh,certified-fresh,97.0,"Repeating themes of desolation, loneliness, regret, and immiseration from previous films, Costa expresses his sympathy in dirge-like fashion. This highly stylized film, as visually striking as the others, is representation by the Rembrandt of the ghetto.",National Review,Vitalina Varela,"Mar 25, 2020"
239,rotten,certified-fresh,89.0,"Haynes doesn't control Ruffalo's conceitedness. Weepy, anguished Ruffalo has lost the ability to portray normal behavior.",National Review,Dark Waters,"Mar 20, 2020"
240,rotten,certified-fresh,99.0,Victimhood makes Never Rarely Sometimes Always the latest example of politicized filmmaking as the Hollywood norm. Its message overwhelms storytelling craft and reason.,National Review,Never Rarely Sometimes Always,"Mar 13, 2020"
241,rotten,certified-fresh,84.0,This pity party doesn't make the film more meaningful; it crosses a line of decency that insults our ability to absorb storytelling and learn from it.,National Review,The Way Back,"Mar 06, 2020"
242,rotten,rotten,35.0,"Stewart, though miscast physically and vocally, plays Seberg as a tearful enigma, which is inappropriate for the actress and ironic American icon of the French New Wave that we know.",National Review,Seberg,"Mar 04, 2020"
243,fresh,fresh,93.0,Straight Up's victory is the revelation that our own smarts are not smart enough to make up for romantic love; we seek something more.,National Review,Straight Up,"Feb 28, 2020"
244,rotten,certified-fresh,92.0,This Invisible Man is not entertainment; it's merely a domestic-violence showcase for masochists.,National Review,The Invisible Man,"Feb 21, 2020"
245,fresh,certified-fresh,98.0,Komasa and Pacewicz deserve credit for not succumbing to trite political rationales... Corpus Christi maintains commitment to morality as a faith. It could be very instructive for this period.,National Review,Corpus Christi,"Feb 20, 2020"
246,rotten,rotten,36.0,"This film's smarter-than-thou revelations of human foible, personal pretense, and selfishness suggest sketch comedy... Faxon, Rash, Louis-Dreyfus, and Farrell show little imagination or originality.",National Review,Downhill,"Feb 14, 2020"
247,fresh,fresh,69.0,"Allows us to focus on how Hollywood sexuality stemmed from biblical, Freudian, Jungian foundations. In every scene, the astoundingly gorgeous Gardner embodies all those ideals in contradiction.",National Review,Pandora and the Flying Dutchman,"Feb 07, 2020"
248,rotten,certified-fresh,78.0,Birds of Prey cheapens Robbie's razzle-dazzle characterization by politicizing it; Quinn's personal passion gets reduced to the childish inanity of out-of-control petulance.,National Review,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Feb 07, 2020"
249,fresh,certified-fresh,85.0,"This year's first great movie... By inquiring into the morality of the gangster film, Bellocchio is not a traitor to his art.",National Review,The Traitor,"Jan 31, 2020"
250,fresh,certified-fresh,93.0,Beanpole is a Russian dossier that damns its source as well as its target.,National Review,Beanpole,"Jan 29, 2020"
251,fresh,fresh,63.0,"Director Tom Shadyac respects the moral clarity in the Brian Banks screenplay by Doug Atchison, who also wrote the moving Akeelah and the Bee, another keen observation of individual action over activism.",National Review,Brian Banks,"Jan 24, 2020"
252,rotten,certified-fresh,92.0,"Clemency is art-movie activism, and it collapses from the lack of emotional grace.",National Review,Clemency,"Jan 24, 2020"
253,rotten,certified-fresh,85.0,"Not even Michael B. Jordan, the charismatic star of Creed, can lift Just Mercy out of do-gooder drudgery.",National Review,Just Mercy,"Jan 24, 2020"
254,rotten,certified-fresh,88.0,"Mendes's prowling-camera vision of trench and field warfare offers jolts but never surprise; as Roger Deakin's adaptable camera surges through variously lighted locales, one's suspension of disbelief is dispelled by the photogenic stunt.",National Review,1917,"Jan 17, 2020"
255,rotten,certified-fresh,91.0,"Uncut Gems diminishes one of the richest comic sensibilities in modern cinema. It turns Sandler, the smartass who always chooses family and friendship over streetwise selfishness, into an icon of grungy nihilism.",National Review,Uncut Gems,"Jan 10, 2020"
256,rotten,certified-fresh,95.0,"The crazy, boring, laughable thing about Greta Gerwig's version of Little Women is that casual racism is merely the start of its problems.",National Review,Little Women,"Dec 27, 2019"
257,rotten,certified-fresh,82.0,A Hidden Life is so detached from our spiritual and political needs that it feels similarly useless.,National Review,A Hidden Life,"Dec 27, 2019"
258,rotten,rotten,52.0,"Through J. J. Abrams's visually inert busyness, it heralds the death of cinematic communication, if not narrative coherence",National Review,Star Wars: The Rise of Skywalker,"Dec 20, 2019"
259,rotten,fresh,68.0,Roach's blonde-bot casting coup cannot fake its way past the film's basic dishonesty about the corruption of journalism.,National Review,Bombshell,"Dec 19, 2019"
260,fresh,certified-fresh,77.0,"This late phase of Eastwood's directorial career is his best because he resists moralistic grandstanding to achieve plainness and depth. Richard Jewell is like the finest, boldest, streamlined, and conscientious B-movie.",National Review,Richard Jewell,"Dec 13, 2019"
261,rotten,certified-fresh,97.0,"Fact is, Sciamma doesn't trust the expressiveness of her medium; despite deft technique, she stages obvious agitprop.",National Review,Portrait of a Lady on Fire,"Dec 06, 2019"
262,rotten,certified-fresh,83.0,"Instead of urging viewers to question media accounts and move toward self-reflection, Queen & Slim uses marketing iconography to make up for what lead actors Kaluuya and Turner-Smith lack in charisma.",National Review,Queen & Slim,"Dec 02, 2019"
263,rotten,certified-fresh,95.0,"The movie seems wary of faith (it briefly mentions that Rogers was an ordained minister) and settles for secular sentimentality to account for his sensibility and behavior. This not only weakens the film, but it also hobbles Hanks's characterization.",National Review,A Beautiful Day in the Neighborhood,"Dec 02, 2019"
264,fresh,certified-fresh,92.0,When it concentrates on aspects of American exceptionalism -- the personal appreciation of how America once thought itself great -- it reminds viewers of what pundits and anti-American politicians would have us forget.,National Review,Ford v Ferrari,"Nov 22, 2019"
265,rotten,certified-fresh,82.0,"Burns lacks a sense of urgency, so the movie feels like something that sat on a shelf since 2004.",National Review,The Report,"Nov 20, 2019"
266,rotten,certified-fresh,95.0,"Marriage Story falls short of its models because it doesn't reflect contemporary -- Millennial -- problems surrounding intimacy. Hence, Baumbach's reluctance to call the movie what it is.",National Review,Marriage Story,"Nov 15, 2019"
267,rotten,fresh,64.0,Edward Norton's Motherless Brooklyn is an embarrassment to white liberalism. Yet the film's shameless conceit is also a monument to white liberal narcissism.,National Review,Motherless Brooklyn,"Nov 14, 2019"
268,rotten,certified-fresh,97.0,"While watching Dolemite Is My Name, one holds to the hope that Murphy will connect with Moore's shtick, but this film steadily disappoints its promise.",National Review,Dolemite Is My Name,"Nov 08, 2019"
269,rotten,fresh,74.0,"In Harriet, Millennial hindsight and historical revision come off as pompous and patronizing.",National Review,Harriet,"Nov 07, 2019"
270,rotten,certified-fresh,95.0,"The overwrought Irishman resembles an American kabuki play about sin that also relishes sin. It epitomizes the degradation of ""where we are today.""",National Review,The Irishman,"Nov 01, 2019"
271,fresh,fresh,83.0,Jesus Is King is a spiritual work thanks to its deep feeling -- pure expression brought to today's calamitous social condition.,National Review,Jesus Is King,"Oct 30, 2019"
272,rotten,rotten,51.0,Black and Blue represents a form of commercial and political calculation too amateurish to call irresponsible; it's merely desperate.,National Review,Black and Blue,"Oct 25, 2019"
273,rotten,,,"Encore is a social-consciousness musical, brought back to challenge an era in which social consciousness itself isn't enough.",National Review,UNKNOWN,"Oct 24, 2019"
274,fresh,certified-fresh,96.0,"Ozon counters the trendy notions of ""toxic masculinity"" and victims seeking justice. This insight into masculine vulnerability makes the film remarkable.",National Review,By the Grace of God,"Oct 18, 2019"
275,rotten,certified-fresh,80.0,"Waititi's simplistic view of human behavior and political history isn't even as sophisticated as Indiana Jones's witty cultural summation: ""Nazis -- I hate those guys!""",National Review,Jojo Rabbit,"Oct 16, 2019"
276,rotten,certified-fresh,99.0,"Bong is an unfunny extremist. In Parasite, he annihilates the concept of the nuclear family by setting a brood of lower-class con artists against an upper-class family unit.",National Review,Parasite,"Oct 11, 2019"
277,fresh,certified-fresh,96.0,All these performances (Pain and Glory is the best-acted film of year) idealize complicated human relations.,National Review,Pain and Glory,"Oct 04, 2019"
278,rotten,fresh,69.0,Phoenix and Phillips turn Joker into a sociopolitical mishmash.,National Review,Joker,"Oct 02, 2019"
279,fresh,certified-fresh,82.0,"Judy's lapidary construction is a setting for Renée Zellweger's performance, which attempts a precarious tribute... Zellweger's sensitivity ensures that only a cruel viewer could ignore Garland's struggle against common obstacles.",National Review,Judy,"Sep 27, 2019"
280,rotten,fresh,90.0,"Trading on sentimentality, this type of storytelling coerces viewers by projecting social consciousness through juvenile media icons. Above all, the ploy is politically devious; the idea of innocence is manipulated as rhetoric.",National Review,Socrates,"Sep 25, 2019"
281,fresh,,,"Tattoo of Revenge's kaleidoscopic cross-section of bohemian, underworld, and media types is such a sensual feast that it evokes the troubled temperaments of today's social disorder.",National Review,Tattoo of Revenge,"Sep 21, 2019"
282,fresh,certified-fresh,91.0,"Works of popular art are rarely so pertinent as to make viewers rethink their own lives. Seen today, Nashville fills in the intellectual, spiritual, and political chasm caused by Hollywood's juvenile Millennial escapism.",National Review,Nashville,"Sep 19, 2019"
283,rotten,certified-fresh,87.0,Hustlers is appalling.,National Review,Hustlers,"Sep 13, 2019"
284,rotten,certified-fresh,87.0,Now that the fashionable Left has abandoned compassion -- and complexity -- this slicker-than-Michael Moore doc buries Roy Cohn as a paradigm for Machiavellian ruthlessness.,National Review,Where's My Roy Cohn?,"Sep 12, 2019"
285,rotten,certified-fresh,89.0,"Ronstadt speaks of herself honestly and modestly, but the talking-heads tributes in this doc are trite.",National Review,Linda Ronstadt: The Sound of My Voice,"Sep 10, 2019"
286,fresh,fresh,69.0,"A rare, affecting baseball film, it's also an unapologetic, unhip redemption tale.",National Review,Bottom of the 9th,"Sep 06, 2019"
287,rotten,certified-fresh,89.0,Blinded by the Light actually avoids everything that is interesting about cross-ethnic pop culture.,National Review,Blinded by the Light,"Aug 29, 2019"
288,rotten,certified-fresh,95.0,"[A] facile, generalized survey.",National Review,American Factory,"Aug 23, 2019"
289,fresh,fresh,100.0,"Director Audry and her sister, screenwriter Colette Audry, made Olivia as artists, not activists. And the cast of exquisitely nuanced actresses exercised imaginative understatement.",National Review,Olivia,"Aug 22, 2019"
290,rotten,certified-fresh,80.0,"Thor's final school pageant performance of ""I Want To Know What Love Is,"" intended to express his sense of growing apart, is the single most mawkish and dishonest movie ending so far this year.",National Review,Good Boys,"Aug 19, 2019"
291,fresh,certified-fresh,98.0,"Children could enjoy watching the story as an ever-changing fable, but adults will get more out of its depiction of multifaceted political art.",National Review,Buñuel in the Labyrinth of the Turtles,"Aug 15, 2019"
292,rotten,rotten,23.0,"The Kitchen is neither a good movie nor a reliable dramatization of female power. It is, in fact, a laughable insult to women and their social circumstances.",National Review,The Kitchen,"Aug 09, 2019"
293,fresh,certified-fresh,90.0,"More than a battle of wills between a high-school teacher and her star pupil, the movie Luce uses that familiar premise to explore the beliefs -- and the fears -- by which our enlightened, progressive society lives.",National Review,Luce,"Aug 02, 2019"
294,fresh,certified-fresh,85.0,"Finally, Tarantino asks audiences to think about life -- not just the movies.",National Review,Once Upon a Time... In Hollywood,"Jul 26, 2019"
295,fresh,certified-fresh,95.0,"Thanks to Belkin, we can appreciate the difference between what Wallace called ""tough questions"" and what an irate interview subject called ""rude.""",National Review,Mike Wallace Is Here,"Jul 26, 2019"
296,rotten,rotten,52.0,Biblical and Shakespearean archetypes are trivialized by the new Disney. Its style of fake realism prevents one from imaginatively projecting onto the animation.,National Review,The Lion King,"Jul 19, 2019"
297,fresh,fresh,96.0,"Barbarians makes the nightmare of Communist oppression, and its continuing effect on the popular and artistic psyche, absolutely clear -- and pertinent.",National Review,I Do Not Care If We Go Down in History as Barbarians,"Jul 18, 2019"
298,fresh,,,"Stephen Chow has replaced Steven Spielberg as the world's most humane, unifying filmmaker. The latest proof is The New King of Comedy.",National Review,The New King of Comedy,"Jul 03, 2019"
299,rotten,certified-fresh,90.0,"This plot device, in which Spidey realizes duty and hormones, feels gimmicky to anyone not suckered by the Marvel-Pixar contrivance that makes formula analogous to ""home.""",National Review,Spider-Man: Far From Home,"Jul 03, 2019"
300,fresh,certified-fresh,100.0,"Toy Story 2 shows how pop art can disarm your loftiest objections with unexpected wit and genuine insight. ""Magical"" describes it but not its aspects that are superlatively humane.",New York Press,Toy Story 2,"Jul 01, 2019"
301,rotten,certified-fresh,95.0,Control Room leave viewers susceptible to the deceptions of politicians and media charlatans.,New York Press,Control Room,"Jun 28, 2019"
302,rotten,fresh,63.0,"In this tragic new world, taste and feeling are ignored for fame and group-think correctness... Yesterday entertains this possibility as if it were fun.",National Review,Yesterday,"Jun 28, 2019"
303,rotten,certified-fresh,86.0,It's atrocious. Twisted sociology.,New York Press,Liberty Heights,"Jun 28, 2019"
304,rotten,certified-fresh,97.0,"Pixar continues to indoctrinate viewers into childish, compulsive consumerism.",National Review,Toy Story 4,"Jun 21, 2019"
305,rotten,fresh,62.0,"In the nearly three-hour Our Time, Reygadas has gone completely worldly -- still aestheticizing nature and behavior, yet always bypassing the spiritual for the carnal.",National Review,Our Time,"Jun 20, 2019"
306,rotten,rotten,55.0,"In The Dead Don't Die, Jarmusch's hipster sense of brotherhood is an assertion of perpetual liberal schmaltz.",National Review,The Dead Don't Die,"Jun 14, 2019"
307,rotten,certified-fresh,92.0,"Here's the problem: Scorsese, whose moralistic ethnic thrillers or genre fantasies are politically evasive, picks up the usual leftist cant... The voice-of-a-generation routine is not helpful to a new, politically disingenuous era.",National Review,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"Jun 13, 2019"
308,rotten,rotten,55.0,"Ma's humor works best in its trailer, while the film itself is only fitfully funny. This isn't only a matter of Taylor and Landes's ineptitude and incoherence; Ma is the most strikingly conflicted Hollywood movie of the season...",National Review,Ma,"Jun 07, 2019"
309,fresh,rotten,32.0,Each character's desperation and personal motivation are vivid; the global nightmare is conveyed with such quick efficiency that Domino plays like a B-movie dream of a great De Palma film.,National Review,Domino,"May 31, 2019"
310,rotten,rotten,57.0,"Director Guy Ritchie's hackwork in this musical adventure film performs sleight of hand, moving so fast that his razzle-dazzle blurs any sense of personal ethnic insight.",National Review,Aladdin,"May 24, 2019"
311,fresh,certified-fresh,90.0,Echo in the Canyon prizes class opportunity and artistic consciousness. It promises that musicians who stay true to their muse don't then have to make exasperating soundbites.,National Review,Echo in the Canyon,"May 22, 2019"
312,fresh,certified-fresh,89.0,"[Director Chad] Stahelski knows there's pleasure in movie kinetics. The sheer nerve of the relentless fight scenes is hilarious, and their proficiency is cinematically gratifying. Parabellum lifts him to action-movie heights.",National Review,John Wick: Chapter 3 -- Parabellum,"May 17, 2019"
313,fresh,certified-fresh,78.0,"This gives Salò, and the figurehead that Ferrara and Dafoe create from Pasolini's artistic courage, great and undeniable significance amid the political hypocrisy and artistic crises of today.",National Review,Pasolini,"May 15, 2019"
314,fresh,certified-fresh,96.0,"The Iron Giant should have been immediately recognized as a near-perfect, classical expression of imagination, combining childlike wonder and adult sophistication.",New York Press,The Iron Giant,"May 14, 2019"
315,fresh,certified-fresh,81.0,"Furious 7 works on the simplest level: Bad guys die, good guys win. Success.",National Review,Furious 7,"May 10, 2019"
316,rotten,rotten,50.0,Giving priority to Peter Jackson's blockbuster doesn't make what Tolkien lived through profound; it distorts historical and cultural reality... All of life is seen as a boyhood tentpole adventure.,National Review,Tolkien,"May 10, 2019"
317,rotten,certified-fresh,86.0,The film becomes insufferable when Assayas's perspective generates approval rather than criticism... Assayas resists judging his characters and winds up praising them.,National Review,Non-Fiction,"May 08, 2019"
318,fresh,certified-fresh,94.0,"Most remarkably, the film's political conspiracy and moral fascination contain such depth of insight that Shadow achieves what deserves to be called visual Shakespeare.",National Review,Shadow,"May 03, 2019"
319,fresh,certified-fresh,98.0,"Although Apocalypse Now is not a great movie, it shows a still-impressive, politically inspired ambition -- a reminder of why film culture matters... Mixing pessimism with astonishment, it expanded cultural unease on a grand 70mm scale.",National Review,Apocalypse Now,"May 01, 2019"
320,fresh,certified-fresh,94.0,"For two hours, it works like the best music videos: making high-concept philosophies graspable, marvelous and fun.",New York Press,Being John Malkovich,"Apr 30, 2019"
321,rotten,certified-fresh,94.0,"Endgame's three-hour length suggests profundity, but each bout of knuckle-busting between the specially gifted vigilantes and the demonic Thanos either panders or, at best, is merely redundant.",National Review,Avengers: Endgame,"Apr 26, 2019"
322,fresh,fresh,67.0,"The film is clear-eyed about immigration because it focuses on a privileged artist's selfishness, the part of his humanity that is inseparable from his ambition and probably inherent to his talent.",National Review,The White Crow,"Apr 25, 2019"
323,fresh,certified-fresh,81.0,"By bringing lead singer Poly Styrene's eccentric musical and political wit into Ruth's already mysterious saga, Hart interprets the millennial black girl's plight in her own, fresh way -- as universal.",National Review,Fast Color,"Apr 22, 2019"
324,rotten,rotten,30.0,Red Joan's sentimental exoneration of one woman's treason and sedition fits with how today's media pay tribute to the kaffeeklatsch of political resisters.,National Review,Red Joan,"Apr 18, 2019"
325,fresh,certified-fresh,93.0,"Sauvage/Wild is surprising and compelling for scenes that constantly convince you of Leo's sympathetic humanity, whether he is being childlike, naïve, angry, tender, filthy, or troublesome.",National Review,Wild,"Apr 12, 2019"
326,rotten,fresh,62.0,"The fact that we cannot escape Bigger Thomas's ghost is partly due to Johnson and Park's fashionable decision to subvert Wright's cautionary book and turn out one more urban-tragedy scenario, now carrying the imprimatur of HBO slickness.",National Review,Native Son,"Apr 09, 2019"
327,fresh,rotten,52.0,Atwater and Ellis's personal development is superficial but at least the movie doesn't drag the actors through trendy cynicism. Bissell and his performers admirably sentimentalize a small but historic accord.,National Review,The Best of Enemies,"Apr 08, 2019"
328,fresh,fresh,67.0,Leigh's nearly great Peterloo succumbs to the derangement syndrome now common in British and American political rhetoric.,National Review,Peterloo,"Apr 05, 2019"
329,rotten,certified-fresh,93.0,"Interpreting Peele's silliness doesn't go beyond his trivializing black American deprivation into junk-movie entertainment. And no intelligent moviegoer should be impressed by his tonier affectations, which are mere sketch comedy.",National Review,Us,"Mar 29, 2019"
330,rotten,rotten,46.0,"Now Dumbo, and the culturally unifying ideas that classic American movies once communicated, no longer take flight. Dumbo and our cultural heritage are forgotten and get chewed up in contemporary cynicism.",National Review,Dumbo,"Mar 28, 2019"
331,fresh,certified-fresh,76.0,"Dragged Across Concrete presents a strangely naturalistic worldview. Instead of imagining how heartless -- or ""cool"" -- mankind can be, Zahler looks for hidden virtues in each situation, no matter how bizarre.",National Review,Dragged Across Concrete,"Mar 22, 2019"
332,rotten,certified-fresh,79.0,Captain Marvel gives political cartoons a bad name.,National Review,Captain Marvel,"Mar 21, 2019"
333,rotten,certified-fresh,93.0,"Despite stretching irrelevant similarities between Welles's sketchbooks and his great films (comparisons that are fun to watch rather than enlightening), Cousins's political focus misses the moral core of Welles's art.",National Review,The Eyes of Orson Welles,"Mar 15, 2019"
334,rotten,certified-fresh,95.0,Petzold's Casablanca-meets-Kafka exercise is a world-weary cliché.,National Review,Transit,"Mar 13, 2019"
335,fresh,fresh,61.0,"This isn't the top of Jordan's oeuvre, but sometimes movies gain fascination for the way they absorb and reflect the day's social currents, including our media-inspired anxiety.",National Review,Greta,"Mar 01, 2019"
336,rotten,certified-fresh,92.0,Patronizes European modernity and turns it into soft-core kitsch.,National Review,Cold War,"Feb 22, 2019"
337,rotten,certified-fresh,77.0,"How ironic that [Florian Henckel von Donnersmarck's] film about an artist figure uses a storytelling style that sidesteps artistic innovation and never challenges comfortable taste... Never Look Away is, at best, decorative art.",National Review,Never Look Away,"Feb 22, 2019"
338,fresh,certified-fresh,83.0,"Sorry Angel continues Chéreau's daring panorama of homosexual humanity with emphasis on moral consciousness, complete with the contradictions of desire and practicality.",National Review,Sorry Angel,"Feb 15, 2019"
339,fresh,certified-fresh,82.0,"In this parody of the hard-boiled-detective genre, Ruben Brandt, Collector further connects art, film, and animation, mapping out the idea of self-discovery and personal relations through culture.",National Review,"Ruben Brandt, Collector","Feb 14, 2019"
340,fresh,fresh,91.0,"Chen gives a fairy-tale tone to this ghost story yet always goes deeper into the issues of love, death, trust and envy, loyalty and betrayal.",National Review,Legend of the Demon Cat,"Feb 08, 2019"
341,fresh,certified-fresh,90.0,I celebrate the catharsis of Cell Block 99 for dramatizing the personal virtues imperiled by venal officials and partisan social arbiters as well as by fate.,National Review,Brawl in Cell Block 99,"Feb 05, 2019"
342,rotten,rotten,22.0,"This remake is the sort of claptrap that used to be called a B-movie, or a straight-to-video release, yet its half-seriousness falls just short of nonsense.",National Review,Miss Bala,"Feb 01, 2019"
343,fresh,rotten,21.0,Serenity dares a moral reckoning worthy of [director Steven] Knight's predecessors... Serenity -- a film about a man chased by his conscience -- is Knight's dream narrative.,National Review,Serenity,"Jan 30, 2019"
344,fresh,certified-fresh,90.0,"The Image Book considers nothing less than the irony of classical art in competition with political reality. It's a poetic analysis that achieves its power through metaphor and allusion, linking not-random images to specific mythic resonance.",National Review,The Image Book,"Jan 25, 2019"
345,rotten,rotten,37.0,"In Glass, Shyamalan ups the exploitative ante -- adding social collapse to serial-killer-threat and girl-victim dread.",National Review,Glass,"Jan 22, 2019"
346,rotten,certified-fresh,86.0,It's a gender-role tantrum rather than an exploration of gender-role consciousness.,National Review,The Wife,"Jan 16, 2019"
347,rotten,certified-fresh,97.0,"[Director RaMell Ross'] aesthetic is strictly observational, like watching animals in their native habitat, the American zoo. Through class difference and intellectual distance, Ross treats the down-home folk like creatures.",National Review,"Hale County This Morning, This Evening","Jan 11, 2019"
348,fresh,certified-fresh,79.0,"Profound, worthy of the previous Van Gogh salutes by Minnelli, Altman, Pialat, and Kurosawa. Schnabel subtly salutes Van Gogh's perseverance by understanding his need to paint in spite of the cruel, stupid, wicked ignorance of his world.",National Review,At Eternity's Gate,"Jan 04, 2019"
349,rotten,certified-fresh,80.0,"No one asked for Mary Poppins's return to modern consciousness, but her reappearance unmistakably proves that Hollywood Boomers are desperate to justify their own mediocrity through nostalgic sentiment.",National Review,Mary Poppins Returns,"Jan 03, 2019"
350,rotten,fresh,65.0,"Aquaman, as directed by James Wan and reconceived by Warners executives chasing after Marvel's jackpot, is all about copycat desperation -- and shrillness.",National Review,Aquaman,"Jan 02, 2019"
351,fresh,fresh,70.0,"Movie classicism -- the practice of traditional craft -- has become rare, and The Mule is the year's best example of modest excellence.",National Review,The Mule,"Dec 28, 2018"
352,rotten,rotten,34.0,"Modern Hollywood isn't good at exploring individual consciousness, but Zemeckis's usual emphasis on special effects and maudlin emotion might be worse. Augmented Reality keeps replacing Hogancamp's story with distracting technological fluff.",National Review,Welcome to Marwen,"Dec 21, 2018"
353,fresh,fresh,60.0,"The House That Jack Built isn't entirely likable, but, as civilization crumbles, Von Trier's nervy provocation has got an undeniable point.",National Review,The House That Jack Built,"Dec 19, 2018"
354,fresh,certified-fresh,88.0,"Bernal is too old to play ingénue, but his commitment to the film's genuine if sophomoric passion is laudable. The film's deep patriotism is remarkable.",National Review,Museo,"Dec 17, 2018"
355,rotten,certified-fresh,96.0,"I can't recall another art movie so openly patronizing toward its subject, yet so self-flattering of its maker's largesse.",National Review,Roma,"Dec 17, 2018"
356,rotten,certified-fresh,97.0,The temerity of retelling a Spider-Man tale by pandering to the nonwhite demographic (and those who flatter themselves for condescending to it) reveals how brazen the media have become.,National Review,Spider-Man: Into the Spider-Verse,"Dec 14, 2018"
357,rotten,certified-fresh,99.0,"In prioritizing political experience over religious faith, Pollack's documentary misses the heart and genius of Franklin's art.",National Review,Amazing Grace,"Dec 11, 2018"
358,rotten,fresh,68.0,Beautiful Boy is distracted from the very problem it hopes to expose... [The filmmakers] insist on depicting the contemporary crisis as a sun-dappled disturbance of otherwise swanky American complaisance.,National Review,Beautiful Boy,"Dec 05, 2018"
359,fresh,fresh,62.0,Vox Lux has moments of startling and expressive individual yearning within the millennium's darkness.,National Review,Vox Lux,"Dec 05, 2018"
360,rotten,certified-fresh,95.0,"Jenkins's Beale Street is not sensual or idealistic enough, and it feels thoroughly inauthentic.",National Review,If Beale Street Could Talk,"Nov 30, 2018"
361,rotten,certified-fresh,93.0,This sick parody of political ambition suggests a Vice Media version of a corrupted Merchant Ivory film -- Anglophilia that is fascinated by the worst of British eccentricity.,National Review,The Favourite,"Nov 29, 2018"
362,rotten,certified-fresh,89.0,"The film's self-pleasing, self-loathing ""smartness"" makes this wannabe epic -- a story of things half-believed that yet cause Americans to quake -- a gruesome landmark of movies in 2018.",National Review,The Ballad of Buster Scruggs,"Nov 26, 2018"
363,rotten,certified-fresh,77.0,Green Book is so heavy with seriousness that any humor about the essential qualities the men share -- or that complement their unlikely friendship -- is lost. This misjudgment fails to reverse the lachrymose gimmick of Driving Miss Daisy.,National Review,Green Book,"Nov 16, 2018"
364,rotten,certified-fresh,91.0,McQueen always uses film pretentiously. Widows belongs to his edgy genre of queasy art projects masquerading as movies.,National Review,Widows,"Nov 09, 2018"
365,rotten,rotten,58.0,"The Front Runner isn't morally penetrating, like Chappaquiddick, nor is it as offensive as Truth, the 60 Minutes scam biopic in 2014, but it still ends up as liberal Hollywood mush.",National Review,The Front Runner,"Nov 08, 2018"
